iter	MultiClass
0	1.035965073
1	0.9896571188
2	0.9545405832
3	0.9274034768
4	0.9050433028
5	0.887398973
6	0.8733371525
7	0.8627188222
8	0.854106417
9	0.8352124256
10	0.8191838783
11	0.8058739517
12	0.7956531582
13	0.786745121
14	0.7809224936
15	0.7758450187
16	0.7705342496
17	0.7672502652
18	0.7638133761
19	0.7605536473
20	0.7580767963
21	0.7554356636
22	0.7533844407
23	0.7513368338
24	0.7495151871
25	0.7484889194
26	0.7475504344
27	0.7466905963
28	0.746241024
29	0.7457176939
30	0.7448704157
31	0.7442629822
32	0.7437918578
33	0.7431705588
34	0.7428886987
35	0.7421936682
36	0.7420310298
37	0.741601093
38	0.74111285
39	0.7404393082
40	0.7400106842
41	0.7396167844
42	0.7394004903
43	0.7392404139
44	0.7390668998
45	0.7389134151
46	0.7387402934
47	0.7385494605
48	0.7384544545
49	0.7380257911
50	0.737514018
51	0.7372225365
52	0.7367666491
53	0.7366110656
54	0.7363303534
55	0.736179367
56	0.7359461817
57	0.7355967327
58	0.735554894
59	0.7354541013
60	0.7353262599
61	0.7350233282
62	0.7347886627
63	0.734638423
64	0.7342244825
65	0.7340171179
66	0.7339754177
67	0.7337753671
68	0.733370708
69	0.733219714
70	0.7331241437
71	0.7329797715
72	0.7325950799
73	0.7324032991
74	0.7322949348
75	0.7320801634
76	0.7318131894
77	0.731716069
78	0.7316366351
79	0.7314514815
80	0.7313760855
81	0.7312229298
82	0.7311011566
83	0.730969087
84	0.7306670722
85	0.7305181227
86	0.7303406448
87	0.7301714099
88	0.7298037554
89	0.7297021916
90	0.7293057949
91	0.7290469954
92	0.7289259068
93	0.728552354
94	0.7284338359
95	0.7282882938
96	0.7279930729
97	0.727807439
98	0.7276548283
99	0.7273746975
100	0.7271378556
101	0.726920674
102	0.7267335351
103	0.7265315738
104	0.7263927847
105	0.7262405976
106	0.7261094332
107	0.7258606868
108	0.7256605227
109	0.7253357423
110	0.7251386095
111	0.7248229955
112	0.7246352967
113	0.7242838384
114	0.7239833075
115	0.7239213162
116	0.7236525356
117	0.7233998653
118	0.7232908756
119	0.722980852
120	0.7228893846
121	0.7227791816
122	0.7224151284
123	0.7221625561
124	0.7218159611
125	0.7214733539
126	0.7213601477
127	0.72124928
128	0.7211055714
129	0.7209477202
130	0.7208553344
131	0.7206937041
132	0.7204411693
133	0.7203328983
134	0.7202497845
135	0.7201041166
136	0.7197298413
137	0.7194096673
138	0.7193587855
139	0.7189872967
140	0.718847263
141	0.7187684742
142	0.7185411806
143	0.7184089879
144	0.7180209174
145	0.7178749407
146	0.7177819323
147	0.717615902
148	0.7175057391
149	0.7171353249
150	0.7168871014
151	0.7168682338
152	0.7167918049
153	0.7166340783
154	0.7165718252
155	0.7164348338
156	0.7162179659
157	0.7160160895
158	0.7159815391
159	0.7159147327
160	0.7156646558
161	0.7153835928
162	0.7153385614
163	0.7149790636
164	0.7148627092
165	0.7146581191
166	0.7145198713
167	0.7144550834
168	0.7143760653
169	0.7142041241
170	0.7141012406
171	0.7139424205
172	0.7137892438
173	0.7135496844
174	0.7134412132
175	0.71328625
176	0.7132437823
177	0.7131083731
178	0.7129903284
179	0.7126080011
180	0.7125176491
181	0.7122713391
182	0.712171945
183	0.7120771961
184	0.7118959848
185	0.7118471784
186	0.7117548424
187	0.711656999
188	0.7113890115
189	0.7110616353
190	0.7107616274
191	0.7105762433
192	0.7104927179
193	0.7103760243
194	0.7102920668
195	0.7102112264
196	0.7101546922
197	0.7100021473
198	0.7098734232
199	0.7096623929
200	0.7095952084
201	0.7095432165
202	0.7093310228
203	0.7092072747
204	0.7090805362
205	0.7087207354
206	0.7086064342
207	0.70855247
208	0.7082521564
209	0.7079927333
210	0.7078091436
211	0.7076435508
212	0.7074427149
213	0.7074004009
214	0.7072897352
215	0.7072083756
216	0.707156263
217	0.7070511701
218	0.7069347713
219	0.7066633247
220	0.7064557342
221	0.7063694216
222	0.7061668372
223	0.7059863544
224	0.705909194
225	0.7058109413
226	0.7056385503
227	0.705336964
228	0.7051070034
229	0.7048321144
230	0.7047411548
231	0.7046972777
232	0.7043101403
233	0.7041501821
234	0.7041324854
235	0.7039530683
236	0.7038686532
237	0.7037497953
238	0.7035431603
239	0.7034068064
240	0.7032891496
241	0.7031315904
242	0.702776486
243	0.702739535
244	0.7025209324
245	0.702114565
246	0.7019619348
247	0.7017265001
248	0.7016639108
249	0.7015986019
250	0.7014933405
251	0.7014604402
252	0.7012773834
253	0.7011151094
254	0.7010498624
255	0.7008980788
256	0.7007413351
257	0.7006862645
258	0.700536379
259	0.700499372
260	0.7001485089
261	0.7000840734
262	0.7000297889
263	0.6997476512
264	0.6996701293
265	0.6995608743
266	0.6994423659
267	0.6991097657
268	0.6987328816
269	0.6984790864
270	0.6982473693
271	0.6980167015
272	0.6978815423
273	0.6977193867
274	0.6974493991
275	0.6973590312
276	0.6971438125
277	0.6969778371
278	0.696903593
279	0.6968026288
280	0.6963486954
281	0.6960880517
282	0.6958931988
283	0.6958041595
284	0.6956672613
285	0.6955284206
286	0.6954132391
287	0.6951322714
288	0.6949506777
289	0.6947049399
290	0.6944578525
291	0.694372205
292	0.6940659524
293	0.6939427661
294	0.6938944365
295	0.6937351986
296	0.6936883481
297	0.6936067053
298	0.6934741108
299	0.6934088093
300	0.6932244968
301	0.6929518521
302	0.69270811
303	0.6926452356
304	0.6924900096
305	0.6923745474
306	0.6922138954
307	0.6918708754
308	0.6917229438
309	0.6916182588
310	0.6914763132
311	0.6913678528
312	0.6908384617
313	0.6906929066
314	0.6906555518
315	0.6903609944
316	0.6902704695
317	0.6901431287
318	0.6898483706
319	0.689685779
320	0.6895033089
321	0.6893873772
322	0.6892318457
323	0.6891618442
324	0.6890666048
325	0.6890396372
326	0.6889699569
327	0.6888361229
328	0.688648919
329	0.6884229786
330	0.6881540206
331	0.687960413
332	0.6877058567
333	0.6874211441
334	0.6871687652
335	0.687121506
336	0.6870261539
337	0.6869330665
338	0.686832569
339	0.6864328255
340	0.6863215741
341	0.6859631947
342	0.6858720676
343	0.6856801597
344	0.6855329291
345	0.6854497441
346	0.6853117178
347	0.6852055898
348	0.684783762
349	0.6846232202
350	0.6844669892
351	0.6842757321
352	0.6840533427
353	0.6839561793
354	0.6839196928
355	0.6837646122
356	0.6836364176
357	0.6833785113
358	0.6831885432
359	0.6831538999
360	0.6829575935
