iter	Passed	Remaining
0	29	29665
1	52	25953
2	81	27223
3	104	26041
4	114	22743
5	133	22188
6	173	24622
7	195	24225
8	226	24908
9	250	24778
10	267	24093
11	288	23774
12	315	23949
13	336	23718
14	353	23198
15	378	23289
16	401	23215
17	424	23132
18	445	22979
19	465	22788
20	485	22632
21	508	22590
22	528	22440
23	549	22333
24	570	22252
25	593	22240
26	621	22387
27	648	22518
28	673	22565
29	685	22154
30	706	22069
31	731	22141
32	756	22164
33	779	22157
34	805	22209
35	823	22049
36	835	21745
37	862	21824
38	887	21859
39	909	21820
40	933	21842
41	953	21747
42	984	21914
43	1016	22093
44	1046	22215
45	1074	22292
46	1098	22272
47	1125	22322
48	1152	22375
49	1184	22507
50	1213	22588
51	1241	22638
52	1262	22550
53	1288	22568
54	1350	23204
55	1377	23212
56	1401	23181
57	1423	23118
58	1440	22980
59	1470	23036
60	1499	23079
61	1526	23087
62	1554	23119
63	1584	23177
64	1611	23176
65	1633	23109
66	1658	23097
67	1683	23068
68	1707	23032
69	1733	23024
70	1763	23071
71	1789	23062
72	1814	23038
73	1841	23040
74	1871	23082
75	1893	23018
76	1916	22971
77	1947	23018
78	1978	23070
79	2009	23106
80	2025	22983
81	2054	22995
82	2083	23022
83	2112	23037
84	2142	23065
85	2169	23057
86	2197	23060
87	2225	23066
88	2251	23042
89	2275	23012
90	2307	23047
91	2333	23030
92	2361	23035
93	2392	23059
94	2421	23072
95	2454	23111
96	2475	23049
97	2502	23036
98	2527	23007
99	2553	22977
100	2574	22912
101	2601	22904
102	2630	22910
103	2682	23109
104	2710	23105
105	2738	23098
106	2763	23064
107	2791	23052
108	2823	23082
109	2849	23058
110	2871	23001
111	2895	22956
112	2920	22927
113	2945	22892
114	2970	22860
115	3011	22950
116	3075	23211
117	3120	23325
118	3151	23331
119	3182	23340
120	3215	23361
121	3242	23336
122	3280	23389
123	3320	23459
124	3349	23444
125	3379	23441
126	3407	23423
127	3438	23421
128	3467	23410
129	3499	23422
130	3535	23451
131	3588	23594
132	3627	23645
133	3684	23811
134	3716	23810
135	3748	23815
136	3778	23803
137	3809	23797
138	3839	23782
139	3865	23744
140	3896	23739
141	3924	23712
142	3952	23688
143	3978	23650
144	4002	23600
145	4027	23555
146	4050	23503
147	4078	23480
148	4112	23486
149	4139	23458
150	4170	23449
151	4193	23396
152	4217	23348
153	4248	23341
154	4288	23378
155	4319	23367
156	4349	23352
157	4379	23338
158	4410	23326
159	4438	23300
160	4464	23265
161	4493	23245
162	4520	23211
163	4544	23167
164	4571	23137
165	4596	23091
166	4624	23068
167	4649	23027
168	4679	23008
169	4708	22988
170	4735	22957
171	4764	22934
172	4794	22919
173	4822	22893
174	4851	22869
175	4880	22849
176	4910	22833
177	4940	22816
178	4970	22796
179	4992	22743
180	5021	22723
181	5045	22678
182	5075	22657
183	5100	22620
184	5130	22602
185	5160	22585
186	5191	22570
187	5218	22541
188	5245	22508
189	5270	22468
190	5296	22433
191	5321	22392
192	5345	22350
193	5376	22337
194	5406	22320
195	5451	22363
196	5486	22362
197	5517	22347
198	5586	22486
199	5618	22474
200	5647	22448
201	5678	22434
202	5729	22494
203	5784	22569
204	5836	22633
205	5888	22694
206	5984	22926
207	6058	23069
208	6111	23129
209	6152	23146
210	6199	23180
211	6239	23190
212	6281	23209
213	6320	23214
214	6360	23222
215	6401	23235
216	6440	23238
217	6473	23221
218	6504	23197
219	6553	23235
220	6586	23217
221	6618	23195
222	6648	23164
223	6676	23130
224	6707	23102
225	6733	23060
226	6762	23028
227	6789	22988
228	6821	22965
229	6849	22930
230	6895	22955
231	6920	22909
232	6947	22870
233	6977	22840
234	7004	22801
235	7032	22766
236	7064	22741
237	7115	22780
238	7151	22771
239	7181	22740
240	7204	22690
241	7229	22644
242	7254	22600
243	7288	22582
244	7315	22542
245	7338	22491
246	7368	22464
247	7399	22437
248	7439	22437
249	7470	22412
250	7510	22411
251	7545	22398
252	7574	22363
253	7605	22337
254	7634	22306
255	7684	22332
256	7712	22297
257	7738	22255
258	7765	22218
259	7796	22188
260	7816	22132
261	7843	22093
262	7869	22051
263	7904	22035
264	7931	21999
265	7965	21978
266	8045	22086
267	8073	22052
268	8098	22007
269	8127	21974
270	8156	21941
271	8182	21899
272	8210	21864
273	8238	21829
274	8269	21802
275	8299	21769
276	8326	21732
277	8350	21687
278	8376	21646
279	8407	21619
280	8432	21577
281	8458	21535
282	8490	21510
283	8518	21475
284	8548	21446
285	8581	21424
286	8614	21401
287	8645	21372
288	8673	21338
289	8696	21292
290	8725	21258
291	8751	21220
292	8778	21182
293	8805	21146
294	8832	21107
295	8860	21073
296	8888	21040
297	8917	21006
298	8944	20970
299	8975	20943
300	9003	20908
301	9030	20871
302	9058	20837
303	9087	20806
304	9117	20775
305	9145	20741
306	9174	20710
307	9199	20669
308	9236	20654
309	9283	20662
310	9311	20627
311	9338	20593
312	9365	20556
313	9395	20526
314	9425	20496
315	9450	20455
316	9479	20424
317	9505	20385
318	9529	20343
319	9559	20313
320	9589	20284
321	9618	20252
322	9646	20218
323	9675	20187
324	9702	20151
325	9726	20109
326	9754	20075
327	9779	20036
328	9809	20005
329	9835	19969
330	9860	19930
331	9890	19900
332	9918	19866
