iter	MultiClass
0	1.033937941
1	0.9862727157
2	0.9503452813
3	0.9220176466
4	0.899802363
5	0.8821921611
6	0.8682492047
7	0.8568247664
8	0.8475861459
9	0.8410064725
10	0.8350151754
11	0.8299928215
12	0.8260086304
13	0.8228642575
14	0.8206434515
15	0.8183413873
16	0.8166131056
17	0.8149656978
18	0.8142578666
19	0.812674631
20	0.8118194267
21	0.8110587131
22	0.8106003123
23	0.8103223395
24	0.8101484929
25	0.8095698373
26	0.8094612601
27	0.809088055
28	0.8088329809
29	0.8082994888
30	0.8080214442
31	0.8076166592
32	0.8071740282
33	0.8069026545
34	0.8067163558
35	0.8061716036
36	0.8057802777
37	0.8055178084
38	0.8052665454
39	0.8048042893
40	0.8045197873
41	0.8042240022
42	0.8038219708
43	0.803144241
44	0.8028589953
45	0.8024064495
46	0.8020550547
47	0.8014638505
48	0.8011453579
49	0.8007941154
50	0.8007131799
51	0.8004579099
52	0.80033622
53	0.8000975782
54	0.8000033621
55	0.7994676668
56	0.7994166325
57	0.7991834552
58	0.7990960255
59	0.7985157906
60	0.7983103756
61	0.7982224305
62	0.7976821761
63	0.7975940939
64	0.7974810916
65	0.7974144533
66	0.7967019892
67	0.7965031121
68	0.7963184704
69	0.7960558414
70	0.7957694836
71	0.7957197362
72	0.7954575137
73	0.7951708792
74	0.7950365583
75	0.7948981718
76	0.794618636
77	0.7944203575
78	0.7940607744
79	0.7939953038
80	0.7937808898
81	0.7936283047
82	0.7933745186
83	0.7932070931
84	0.7930992925
85	0.7928899838
86	0.792554596
87	0.7919683228
88	0.7917635777
89	0.7915629993
90	0.7914576986
91	0.7912393301
92	0.7910618917
93	0.7908475652
94	0.7906135356
95	0.7900643407
96	0.7895665866
97	0.7892887678
98	0.788978595
99	0.7887309495
100	0.7886478207
101	0.7883666629
102	0.7875740615
103	0.787388941
104	0.7869864546
105	0.7865082811
106	0.7863424521
107	0.7859824243
108	0.7856767287
109	0.7854294956
110	0.7851115762
111	0.784884496
112	0.7843960244
113	0.7843452673
114	0.783993339
115	0.7835662431
116	0.7833485216
117	0.7832944082
118	0.7830184031
119	0.7827603362
120	0.7824050181
121	0.7822515012
122	0.781824393
123	0.7815237417
124	0.7807067906
125	0.7805376861
126	0.7802814318
127	0.7800104638
128	0.7796748148
129	0.7795326603
130	0.7792535126
131	0.7790446708
132	0.7789431802
133	0.7786972284
134	0.7784503959
135	0.7783126619
136	0.7779728978
137	0.7778339481
138	0.7776733469
139	0.7775516517
140	0.7772637121
141	0.777135532
142	0.7769950532
143	0.7767813979
144	0.7764368116
145	0.7760368116
146	0.7758619853
147	0.7757184537
148	0.7755469589
149	0.7752824751
150	0.7746786502
151	0.7741198345
152	0.7738591057
153	0.7736603623
154	0.7733778299
155	0.7731285989
156	0.7725799828
157	0.772509916
158	0.7722759859
159	0.772085968
160	0.7716271465
161	0.7714114257
162	0.7711818774
163	0.7709745503
164	0.7707957083
165	0.7702579251
166	0.7701656803
167	0.7700702316
168	0.7696233216
169	0.7693243385
170	0.7692042005
171	0.7690582521
172	0.76813643
173	0.7680111903
174	0.7676894216
175	0.7675988955
176	0.7672583234
177	0.7666619403
178	0.7663052725
179	0.765987948
180	0.7657053004
181	0.7655149026
182	0.7651689374
183	0.7647904956
184	0.7646494281
185	0.7644786622
186	0.7641703439
187	0.7638663548
188	0.7637197216
189	0.763667894
190	0.7633499529
191	0.7631213174
192	0.7628932761
193	0.762600606
194	0.7621855681
195	0.7618914417
196	0.7617000749
197	0.7615976269
198	0.7613180699
199	0.7610139873
200	0.7608257868
201	0.7606485645
202	0.7602421165
203	0.7600502667
204	0.7599279253
205	0.7597018761
206	0.7595658399
207	0.7593033971
208	0.759179541
209	0.7590699121
210	0.7588363578
211	0.7583183009
212	0.7580451755
213	0.7575609851
214	0.7570932556
215	0.7570702468
216	0.7569288667
217	0.7567350964
218	0.7565309834
219	0.7563941445
220	0.7562891543
221	0.7561805114
222	0.7560258826
223	0.7559638818
224	0.7556404895
225	0.7555589833
226	0.7554068966
227	0.7549428754
228	0.754765352
229	0.7544380466
230	0.7542567922
231	0.7540986063
232	0.7536863859
233	0.7535007739
234	0.7532467746
235	0.7531496871
236	0.7527270325
237	0.7518132417
238	0.7516850276
239	0.7515349371
240	0.7512119516
241	0.7510598581
242	0.7508375394
243	0.7506310885
244	0.7502953369
245	0.7500421293
246	0.7499382466
247	0.7494932684
248	0.7493900414
249	0.7490826589
250	0.7490418126
251	0.7487566241
252	0.7484366947
253	0.7483036273
254	0.7478290316
255	0.7474878067
256	0.7473585976
257	0.7471487477
258	0.7470485305
259	0.7469238145
260	0.7467597912
261	0.74628892
262	0.7459511382
263	0.7454761674
264	0.7454129805
265	0.7451934658
266	0.7449957847
267	0.7447559965
268	0.7446683852
269	0.7442220062
270	0.743890687
271	0.7438221766
272	0.7436752722
273	0.7433625167
274	0.7431439788
275	0.7430103999
276	0.7429214454
277	0.7428634044
278	0.7423755984
279	0.7423423552
280	0.7422346592
281	0.7419416311
282	0.7416501746
283	0.741252535
284	0.7410317403
285	0.7408435636
286	0.7407921962
287	0.74051477
288	0.7403235832
289	0.7399552213
290	0.7396590132
291	0.739565156
292	0.739374097
293	0.7392770049
294	0.7391702734
295	0.7388050009
296	0.7387363722
297	0.7383433482
298	0.7382756366
299	0.7379113059
300	0.7378133738
301	0.7375450414
302	0.7374032191
303	0.7371625341
304	0.7370668743
305	0.7369956286
306	0.7368046039
307	0.7366062075
308	0.73634764
309	0.7361732077
310	0.7355831335
311	0.7355520977
312	0.7353894152
313	0.7351309007
314	0.7349768714
315	0.7348866293
316	0.734504379
317	0.7342177789
318	0.7341798077
319	0.7340153271
320	0.733677138
321	0.7334030179
322	0.7331387402
323	0.7329594923
324	0.7326899602
325	0.7324268709
326	0.7321774746
327	0.7319243695
328	0.731694682
329	0.7314484419
330	0.731377503
331	0.7311687508
332	0.7308236767
333	0.7307354723
334	0.7304840112
335	0.730007786
336	0.729765607
337	0.7293404266
338	0.7292097496
339	0.7289741766
340	0.7288271521
341	0.7285706083
342	0.728413854
343	0.7283106406
344	0.7282550888
345	0.7281554235
346	0.7280113395
347	0.7276983295
348	0.7274006348
349	0.7269972694
350	0.7269093626
351	0.7265378649
352	0.7264262641
353	0.7262057394
354	0.7260298515
355	0.725949482
356	0.7255859163
357	0.7253485392
358	0.7251263281
359	0.7249031431
360	0.7246055964
361	0.7244401603
362	0.7243012549
363	0.7242022504
364	0.7239703163
365	0.7238932594
366	0.7237698123
367	0.7235794977
368	0.7235037785
369	0.7233668478
370	0.7232447731
371	0.7231152574
372	0.7226019069
373	0.7225326635
374	0.7222723824
375	0.7222098916
376	0.7219743676
377	0.7217846819
378	0.7213272391
379	0.7211942499
380	0.7209393316
381	0.7208533381
382	0.7205707296
383	0.7204542443
384	0.7203059603
385	0.7202381932
386	0.7199466614
387	0.7197764936
388	0.719667313
389	0.7196112824
390	0.7193189168
391	0.7192231201
392	0.7190779074
393	0.7188738491
394	0.718812341
395	0.7185505386
396	0.7184528504
397	0.718090615
398	0.7178242069
399	0.7177247161
400	0.7175936355
401	0.7175243412
402	0.7174353261
403	0.7169319444
404	0.7166796722
405	0.716505638
406	0.7162647174
407	0.7161182226
408	0.7157534127
409	0.715472297
410	0.7154107772
411	0.7153863388
412	0.7152310005
413	0.7151330913
414	0.7150157409
415	0.7148587766
416	0.7147044366
417	0.7145048863
418	0.7143553745
419	0.7142286541
420	0.7141687819
421	0.714026597
422	0.713941592
423	0.7137835956
424	0.7135702277
425	0.7133503744
426	0.7131183292
427	0.7129642232
428	0.7128968265
429	0.7127461206
430	0.7124856523
431	0.7121242048
432	0.7120796003
433	0.7119951521
434	0.7119006612
435	0.7118252951
436	0.7116936345
437	0.7114918166
438	0.7114074985
439	0.7113480295
440	0.7108950171
441	0.7107018336
442	0.7104806123
443	0.7103050011
444	0.7101285732
445	0.7099800163
446	0.7097863393
447	0.7097550409
448	0.7096879051
449	0.7090310804
450	0.7088293097
451	0.7086124311
452	0.7085581808
453	0.7084198972
454	0.7082832681
455	0.7081921017
456	0.70772754
457	0.7076390157
458	0.7072914235
459	0.7072356394
460	0.7070350415
461	0.7069256895
462	0.7064625811
463	0.7062077918
464	0.7060383011
465	0.7057683659
466	0.7055377115
467	0.7052798757
468	0.7051555534
469	0.7049096088
470	0.7048073099
471	0.7045708517
472	0.7042288014
473	0.7039907216
474	0.7036832711
475	0.7035552692
476	0.7031037569
477	0.7030654842
478	0.7029446901
479	0.7028073538
480	0.7026563495
481	0.7024757552
482	0.7019942094
483	0.7017010777
484	0.7015928997
485	0.7014540614
486	0.7013801619
487	0.7011699455
488	0.7011412644
489	0.7010657977
490	0.7010151673
491	0.7008302307
492	0.7005848975
493	0.7003826491
494	0.700311497
495	0.7001168782
496	0.699720379
497	0.6995254921
498	0.6993035587
499	0.6992722861
500	0.6991520159
501	0.698812189
502	0.6987552189
503	0.698575056
504	0.6983762794
505	0.697914494
506	0.6977635495
507	0.6976174434
508	0.6972976773
509	0.6971300237
510	0.6970497075
511	0.6969982831
512	0.6969201415
513	0.6968285001
514	0.6966728746
515	0.696366398
516	0.6961956512
517	0.6960741024
518	0.6959967564
519	0.6959344244
520	0.6957389934
521	0.6956214264
522	0.6952931835
523	0.6949835732
524	0.6947309754
525	0.6945049278
526	0.6944322719
527	0.6938821359
528	0.6937040527
529	0.6935298972
530	0.6934227278
531	0.693268234
532	0.6931398721
533	0.6929051603
534	0.6928114906
535	0.6925032478
536	0.69243333
537	0.692294948
538	0.6920419235
539	0.6917409834
540	0.6916334882
541	0.6915460693
542	0.6914416244
543	0.6914105004
544	0.6912760299
545	0.6908268316
546	0.6907171542
547	0.6906278515
548	0.6904769022
549	0.6903789913
550	0.6902369713
551	0.6900012482
