iter	Passed	Remaining
0	31	31832
1	57	28687
2	72	24023
3	83	20773
4	98	19534
5	120	19977
6	130	18467
7	163	20305
8	189	20866
9	200	19851
10	226	20327
11	252	20753
12	261	19833
13	285	20133
14	310	20414
15	335	20628
16	358	20734
17	384	20981
18	389	20085
19	412	20234
20	439	20497
21	464	20658
22	490	20831
23	499	20296
24	503	19646
25	528	19780
26	532	19187
27	557	19353
28	566	18981
29	589	19071
30	617	19287
31	642	19444
32	667	19572
33	695	19746
34	721	19895
35	745	19951
36	765	19914
37	788	19955
38	813	20046
39	837	20097
40	864	20222
41	890	20322
42	916	20395
43	940	20444
44	963	20455
45	984	20420
46	1009	20472
47	1034	20523
48	1054	20475
49	1079	20506
50	1103	20528
51	1125	20516
52	1148	20519
53	1170	20508
54	1199	20611
55	1225	20658
56	1250	20689
57	1274	20704
58	1298	20714
59	1323	20731
60	1348	20755
61	1370	20730
62	1397	20777
63	1447	21175
64	1515	21802
65	1541	21812
66	1564	21783
67	1585	21730
68	1612	21752
69	1638	21762
70	1666	21801
71	1694	21839
72	1718	21822
73	1740	21777
74	1764	21756
75	1786	21721
76	1815	21761
77	1841	21772
78	1866	21763
79	1892	21761
80	1915	21731
81	1942	21741
82	1968	21751
83	1997	21786
84	2025	21800
85	2049	21786
86	2075	21783
87	2099	21759
88	2127	21780
89	2151	21755
90	2178	21761
91	2204	21754
92	2233	21781
93	2260	21790
94	2291	21831
95	2321	21859
96	2349	21874
97	2375	21862
98	2403	21878
99	2435	21916
100	2466	21951
101	2492	21941
102	2515	21910
103	2542	21906
104	2569	21904
105	2599	21926
106	2628	21940
107	2654	21923
108	2684	21946
109	2716	21979
110	2745	21987
111	2769	21956
112	2796	21954
113	2819	21910
114	2847	21914
115	2877	21929
116	2904	21917
117	2931	21911
118	2958	21905
119	2983	21881
120	3009	21863
121	3038	21865
122	3066	21861
123	3096	21877
124	3122	21855
125	3149	21843
126	3175	21827
127	3202	21818
128	3232	21822
129	3259	21814
130	3286	21801
131	3314	21792
132	3339	21772
133	3365	21751
134	3392	21735
135	3416	21701
136	3446	21710
137	3475	21712
138	3501	21691
139	3528	21672
140	3553	21649
141	3579	21627
142	3608	21627
143	3635	21610
144	3662	21594
145	3689	21580
146	3715	21561
147	3744	21554
148	3773	21549
149	3802	21547
150	3832	21548
151	3858	21528
152	3886	21512
153	3913	21497
154	3940	21481
155	3964	21450
156	3990	21426
157	4017	21408
158	4043	21387
159	4071	21377
160	4097	21351
161	4122	21325
162	4150	21313
163	4178	21299
164	4202	21268
165	4227	21238
166	4251	21204
167	4300	21295
168	4327	21281
169	4354	21260
170	4382	21244
171	4404	21204
172	4429	21176
173	4462	21182
174	4487	21156
175	4513	21129
176	4537	21097
177	4562	21071
178	4587	21041
179	4612	21010
180	4639	20991
181	4667	20978
182	4696	20969
183	4724	20950
184	4747	20915
185	4778	20910
186	4806	20896
187	4834	20879
188	4862	20864
189	4890	20850
190	4917	20829
191	4946	20817
192	4977	20813
193	5004	20792
194	5030	20767
195	5058	20752
196	5089	20743
197	5117	20729
